"Reference","Value","Qty","#"
"C6,C24,C28","10u","3","1"
"C8","2.2uF","1","2"
"C12","22uF","1","3"
"C14,C33,C38","50pF","3","4"
"C16","10nF","1","5"
"C17","100nF","1","6"
"C18,C23","270n","2","7"
"C19","1000uF","1","8"
"C20,C30,C35,C39","470nF","4","9"
"C21,C31,C34","47uF","3","10"
"C25",".33u","1","11"
"C26","47p","1","12"
"C27",".1u","1","13"
"C29,C41","1uF","2","14"
"C32,C37","220n","2","15"
"C36","22nF","1","16"
"C40","100pF","1","17"
"C42","22n","1","18"
"D6,D7,D8","1N4148","3","19"
"D9,D10","LED","2","20"
"J2","Audio_Jack","1","21"
"Q1,Q2","2N3904","2","22"
"R7","330","1","23"
"R8","5.6k","1","24"
"R9","33K","1","25"
"R10,R26","120k","2","26"
"R13,R18,R27,RV4","10K","4","27"
"R15,R37","22K","2","28"
"R16","2.2K","1","29"
"R17","10","1","30"
"R19,R24,R30","1Meg","3","31"
"R22,R29,R32","47k","3","32"
"R23","680","1","33"
"R25,R34","10k","2","34"
"R28","500","1","35"
"R31","1K","1","36"
"R33,R36","1k","2","37"
"R35","680K","1","38"
"R38,RV2,RV5","100K","3","39"
"RV3","470K","1","40"
"SW1","SW_Rotary_3x4","1","41"
"U1,U3,U4","TL072","3","42"
"U8","LM386","1","43"
